,渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
210,A101,14.22,0.0,0.0,1.0152,232.24,0.0,13,swf,不确定,cpm,600*90,打折
211,A102,2.55,0.0,0.0076,1.4981,510.51,0.0009,14,swf,不确定,cpm,600*90,打折
212,A103,175.02,0.0098,0.1084,5.5044,495.25,0.0137,21,swf,不确定,cpm,600*90,打折
213,A104,15.04,0.0036,0.0263,5.0156,414.17,0.0108,2,swf,不确定,cpm,600*90,打折
214,A105,9320.06,0.0017,0.0061,1.9409999999999998,518.54,0.0018,18,swf,不确定,cpm,600*90,打折
215,A106,6.18,0.0,0.0016,1.0208,328.79,0.0,4,swf,不确定,cpm,600*90,打折
216,A107,1.51,0.0,0.0,1.0065,570.42,0.0,24,swf,不确定,cpm,600*90,打折
217,A11,493.45,0.0001,0.0043,1.3230000000000002,368.06,0.0,16,swf,不确定,cpm,600*90,打折
218,A114,1816.29,0.0006,0.0006,1.2919999999999998,526.88,0.0006,17,swf,不确定,cpm,600*90,打折
219,A115,2266.65,0.0013,0.0127,1.6095,496.31,0.0014,17,swf,不确定,cpm,600*90,打折
220,A12,122.04,0.0033,0.017,2.7937,365.16,0.0032,19,swf,不确定,cpc,600*90,打折
221,A13,0.64,0.0,0.33,5.71,666.3,0.0112,7,swf,不确定,cpc,600*90,打折
222,A137,513.1,0.0066,0.0474,2.6251,329.86,0.0053,6,swf,不确定,roi,600*90,打折
223,A138,1.78,0.0,0.0576,3.2446,569.2,0.0147,30,swf,不确定,roi,600*90,打折
224,A139,1101.34,0.0,0.0014,1.6067,68.78,0.0001,19,swf,不确定,roi,600*90,打折
225,A14,1.36,0.0,0.2271,4.9345,628.01,0.0105,18,swf,不确定,cpc,600*90,打折
226,A140,198.7,0.0,0.0009,1.6886,65.93,0.0001,26,swf,不确定,roi,600*90,打折
227,A141,978.37,0.0,0.0017,1.4973,69.2,0.0001,27,swf,不确定,roi,600*90,打折
228,A142,361.36,0.0,0.0026,1.5839,83.78,0.0001,4,swf,不确定,roi,600*90,打折
229,A143,752.21,0.0,0.0017,1.4797,121.38,0.0001,7,swf,不确定,roi,600*90,打折
230,A144,658.32,0.0,0.0015,1.5743,76.48,0.0004,24,swf,不确定,roi,600*90,打折
231,A145,404.01,0.0,0.0012,1.5393,71.57,0.0001,19,swf,不确定,roi,600*90,打折
232,A146,1119.39,0.0,0.0008,1.5275,65.7,0.0001,27,swf,不确定,roi,600*90,打折
233,A147,354.75,0.0,0.0005,1.5221,69.01,0.0001,27,swf,不确定,roi,600*90,打折
234,A148,417.31,0.0002,0.002,1.5091,111.28,0.0001,21,swf,不确定,roi,600*90,打折
235,A149,1260.56,0.0003,0.0002,1.6028,81.25,0.0002,25,swf,不确定,roi,600*90,打折
236,A15,2.25,0.0,0.26899999999999996,4.5761,465.62,0.019,8,swf,不确定,cpc,600*90,打折
237,A150,1107.49,0.0,0.0014,1.4979,75.65,0.0,27,swf,不确定,roi,600*90,打折
238,A151,733.3,0.0001,0.0013,1.5459,61.81,0.0001,18,swf,不确定,roi,600*90,打折
239,A152,1240.76,0.0,0.0011,1.5285,61.21,0.0001,9,swf,不确定,roi,600*90,打折
240,A153,754.35,0.0001,0.0007,1.5224,67.74,0.0002,30,swf,不确定,roi,600*90,打折
241,A154,416.05,0.0,0.0,1.6777,72.81,0.0001,16,swf,不确定,roi,600*90,打折
242,A16,136.83,0.0036,0.0136,2.6497,367.05,0.0036,9,swf,不确定,cpc,600*90,打折
243,A17,4.94,0.0018,0.0232,3.4393,458.02,0.0082,25,swf,不确定,cpc,600*90,打折
244,A172,0.77,0.0,0.0,1.2308,157.7,0.0,19,swf,不确定,cpc,600*90,打折
245,A173,5303.27,0.0012,0.0032,2.1992,281.56,0.0014,14,swf,不确定,cpc,600*90,打折
246,A174,8900.04,0.0,0.0011,1.9078,228.05,0.0,29,swf,不确定,cpc,600*90,打折
247,A175,1.9,0.0,0.0,1.2421,145.44,0.0,3,swf,不确定,cpc,600*90,打折
248,A176,1.26,0.0,0.0,1.2143,135.27,0.0,28,swf,不确定,cpc,600*90,打折
249,A178,24.49,0.0034,0.0467,2.7989,439.09,0.0052,9,swf,不确定,cpc,600*90,打折
250,A179,1887.63,0.0017,0.0044,2.4998,310.83,0.0025,4,swf,不确定,cpc,600*90,打折
251,A18,304.07,0.0029,0.0141,2.7393,369.61,0.0028,14,swf,不确定,cpc,600*90,打折
252,A180,5360.48,0.0,0.0012,2.0176,240.31,0.0,27,swf,不确定,cpc,600*90,打折
253,A181,0.89,0.0,0.0,1.3708,146.37,0.0,4,swf,不确定,cpc,600*90,打折
254,A182,0.75,0.0,0.0,1.2533,157.81,0.0,5,swf,不确定,cpc,600*90,打折
255,A19,0.8,0.0,0.023,1.7586,185.38,0.0,11,swf,不确定,cpc,600*90,打折
256,A190,64.67,0.0097,0.0685,2.9173,402.44,0.0113,6,swf,不确定,roi,600*90,打折
257,A2,1.02,0.0073,0.3869,4.2336,487.93,0.0023,20,swf,不确定,cpc,600*90,打折
